,text,cnpj,count
14,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1047.txt,12.196.993/0001-41,1
108,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1142.txt,12.196.993/0001-41,1
186,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1168.txt,27.165.345/0001-90,1
243,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1252.txt,32.934.693/0001-13,1
323,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/132.txt,13.015.833/0001-55,5
400,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1371.txt,17.173.298/0001-24,1
413,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1371.txt,23.765.576/0001-33,1
417,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1371.txt,26.162.477/0001-57,1
424,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1371.txt,32.265.513/0001-67,1
452,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1456.txt,27.353.630/0004-04,1
485,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1511.txt,11.957.593/0001-10,1
510,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1511.txt,27.708.186/0001-33,1
539,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1531.txt,05.400.066/0001-70,1
1197,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1643.txt,12.264.563/0001-03,1
72,../data/Buscas de palavras chaves/_teste rápido_/1142.txt,12.196.993/0001-41,1
150,../data/Buscas de palavras chaves/_teste rápido_/1168.txt,27.165.345/0001-90,1
217,../data/Buscas de palavras chaves/_teste rápido_/1177.txt,00.924.195/0001-06,1
259,../data/Buscas de palavras chaves/_teste rápido_/1190.txt,08.942.276/0001-08,1
288,../data/Buscas de palavras chaves/_teste rápido_/1224.txt,06.629.746/0001-09,1
397,../data/Buscas de palavras chaves/_teste rápido_/1256.txt,02.205.536/0001-42,1
494,../data/Buscas de palavras chaves/_teste rápido_/1256.txt,26.552.982/0001-75,1
518,../data/Buscas de palavras chaves/_teste rápido_/1287.txt,00.612.203/0001-01,2
629,../data/Buscas de palavras chaves/_teste rápido_/132.txt,13.015.833/0001-55,5
689,../data/Buscas de palavras chaves/_teste rápido_/1327.txt,20.478.426/0001-35,1
694,../data/Buscas de palavras chaves/_teste rápido_/1327.txt,21.993.497/0001-70,1
