,text,cnpj,count
323,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/132.txt,13.015.833/0001-55,5
629,../data/Buscas de palavras chaves/_teste rápido_/132.txt,13.015.833/0001-55,5
2054,../data/Buscas de palavras chaves/EPI/132.txt,13.015.833/0001-55,5
8109,../data/Buscas de palavras chaves/EPI/845.txt,23.767.722/0001-59,4
2238,../data/Buscas de palavras chaves/emergencial/1289.txt,00.331.778/0016-03,4
2569,../data/Buscas de palavras chaves/emergencial/132.txt,13.015.833/0001-55,5
1534,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1289.txt,00.331.778/0016-03,4
1796,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/132.txt,13.015.833/0001-55,5
702,../data/Buscas de palavras chaves/_ventilador pulmonar_/845.txt,23.767.722/0001-59,4
1512,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/132.txt,13.015.833/0001-55,5
1576,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1324.txt,09.378.619/0001-99,7
6569,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/845.txt,23.767.722/0001-59,4
3726,../data/Buscas de palavras chaves/_Dispensa de licitação_/1289.txt,00.331.778/0016-03,4
4338,../data/Buscas de palavras chaves/_Dispensa de licitação_/132.txt,13.015.833/0001-55,5
4430,../data/Buscas de palavras chaves/_Dispensa de licitação_/1336.txt,17.397.019/0001-90,3
6242,../data/Buscas de palavras chaves/_Dispensa de licitação_/1550.txt,25.546.038/0001-65,4
6263,../data/Buscas de palavras chaves/_Dispensa de licitação_/1550.txt,80.671.631/0001-57,7
